county,race,rate,ci_lower,ci_upper,moe,rse,risk_factor,gender
Hunterdon,Black/African American,~,~,~,,,Kaposi Sarcoma,Female
Hunterdon,Black/African American,~,~,~,,,Kidney and Renal Pelvis,Female
Hunterdon,Black/African American,~,~,~,,,Larynx,Female
Hunterdon,Black/African American,~,~,~,,,Leukemias,Female
Hunterdon,Black/African American,~,~,~,,,Liver and Intrahepatic Bile Duct,Female
Hunterdon,Black/African American,~,~,~,,,Lung and Bronchus,Female
Hunterdon,Black/African American,~,~,~,,,Melanomas of the Skin,Female
Hunterdon,Black/African American,~,~,~,,,Mesothelioma,Female
Hunterdon,Black/African American,~,~,~,,,Myeloma,Female
Hunterdon,Black/African American,~,~,~,,,Non-Hodgkin Lymphoma,Female
Hunterdon,Black/African American,~,~,~,,,Oral Cavity and Pharynx,Female
Hunterdon,Black/African American,~,~,~,,,Ovary,Female
Hunterdon,Black/African American,~,~,~,,,Pancreas,Female
Hunterdon,Black/African American,~,~,~,,,Stomach,Female
Hunterdon,Black/African American,~,~,~,,,Thyroid,Female
Hunterdon,Black/African American,~,~,~,,,Urinary Bladder,Female
Hunterdon,Black/African American,295.6,670.9,456.3,,,All Cancer Sites Combined,Male
Hunterdon,Black/African American,~,~,~,,,Brain and Other Nervous System,Male
Hunterdon,Black/African American,~,~,~,,,Colon and Rectum,Male
Hunterdon,Black/African American,~,~,~,,,Esophagus,Male
Hunterdon,Black/African American,~,~,~,,,Hodgkin Lymphoma,Male
Hunterdon,Black/African American,~,~,~,,,Kaposi Sarcoma,Male
Hunterdon,Black/African American,~,~,~,,,Kidney and Renal Pelvis,Male
Hunterdon,Black/African American,~,~,~,,,Larynx,Male
Hunterdon,Black/African American,~,~,~,,,Leukemias,Male
Hunterdon,Black/African American,~,~,~,,,Liver and Intrahepatic Bile Duct,Male
Hunterdon,Black/African American,~,~,~,,,Lung and Bronchus,Male
Hunterdon,Black/African American,~,~,~,,,Male Breast,Male
Hunterdon,Black/African American,~,~,~,,,Melanomas of the Skin,Male
Hunterdon,Black/African American,~,~,~,,,Mesothelioma,Male
Hunterdon,Black/African American,~,~,~,,,Myeloma,Male
Hunterdon,Black/African American,~,~,~,,,Non-Hodgkin Lymphoma,Male
Hunterdon,Black/African American,~,~,~,,,Oral Cavity and Pharynx,Male
Hunterdon,Black/African American,~,~,~,,,Pancreas,Male
Hunterdon,Black/African American,~,~,~,,,Prostate,Male
Hunterdon,Black/African American,~,~,~,,,Stomach,Male
Hunterdon,Black/African American,~,~,~,,,Testis,Male
Hunterdon,Black/African American,~,~,~,,,Thyroid,Male
Hunterdon,Black/African American,~,~,~,,,Urinary Bladder,Male
Hunterdon,Black/African American,337,556.5,436.4,,,All Cancer Sites Combined,Male and Female
Hunterdon,Black/African American,~,~,~,,,Brain and Other Nervous System,Male and Female
Hunterdon,Black/African American,~,~,~,,,Cervix,Male and Female
Hunterdon,Black/African American,~,~,~,,,Colon and Rectum,Male and Female
Hunterdon,Black/African American,~,~,~,,,"Corpus and Uterus, NOS",Male and Female
Hunterdon,Black/African American,~,~,~,,,Esophagus,Male and Female
Hunterdon,Black/African American,~,~,~,,,Hodgkin Lymphoma,Male and Female
Hunterdon,Black/African American,~,~,~,,,Kaposi Sarcoma,Male and Female
Hunterdon,Black/African American,~,~,~,,,Kidney and Renal Pelvis,Male and Female
Hunterdon,Black/African American,~,~,~,,,Larynx,Male and Female
Hunterdon,Black/African American,~,~,~,,,Leukemias,Male and Female
Hunterdon,Black/African American,~,~,~,,,Liver and Intrahepatic Bile Duct,Male and Female
Hunterdon,Black/African American,~,~,~,,,Lung and Bronchus,Male and Female
Hunterdon,Black/African American,~,~,~,,,Male and Female Breast,Male and Female
Hunterdon,Black/African American,~,~,~,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Hunterdon,Black/African American,~,~,~,,,Melanomas of the Skin,Male and Female
Hunterdon,Black/African American,~,~,~,,,Mesothelioma,Male and Female
Hunterdon,Black/African American,~,~,~,,,Myeloma,Male and Female
Hunterdon,Black/African American,~,~,~,,,Non-Hodgkin Lymphoma,Male and Female
Hunterdon,Black/African American,~,~,~,,,Oral Cavity and Pharynx,Male and Female
Hunterdon,Black/African American,~,~,~,,,Ovary,Male and Female
Hunterdon,Black/African American,~,~,~,,,Pancreas,Male and Female
Hunterdon,Black/African American,~,~,~,,,Prostate,Male and Female
Hunterdon,Black/African American,~,~,~,,,Stomach,Male and Female
Hunterdon,Black/African American,~,~,~,,,Testis,Male and Female
Hunterdon,Black/African American,~,~,~,,,Thyroid,Male and Female
Hunterdon,Black/African American,~,~,~,,,Urinary Bladder,Male and Female
Hunterdon,Hispanic/Latino,499.9,787.4,632.5,,,All Cancer Sites Combined,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Cervix,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Colon and Rectum,Female
Hunterdon,Hispanic/Latino,~,~,~,,,"Corpus and Uterus, NOS",Female
Hunterdon,Hispanic/Latino,~,~,~,,,Esophagus,Female
Hunterdon,Hispanic/Latino,119.6,277.8,187.5,,,Female Breast,Female
Hunterdon,Hispanic/Latino,~,~,~,,,"Female Breast, <i>in situ</i>",Female
Hunterdon,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Kidney and Renal Pelvis,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Larynx,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Leukemias,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Lung and Bronchus,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Mesothelioma,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Myeloma,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Non-Hodgkin Lymphoma,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Oral Cavity and Pharynx,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Ovary,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Pancreas,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Stomach,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Thyroid,Female
Hunterdon,Hispanic/Latino,~,~,~,,,Urinary Bladder,Female
Hunterdon,Hispanic/Latino,482.2,894.8,668.9,,,All Cancer Sites Combined,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Colon and Rectum,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Esophagus,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Kidney and Renal Pelvis,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Larynx,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Leukemias,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Lung and Bronchus,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Male Breast,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Mesothelioma,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Myeloma,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Non-Hodgkin Lymphoma,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Oral Cavity and Pharynx,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Pancreas,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Prostate,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Stomach,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Testis,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Thyroid,Male
Hunterdon,Hispanic/Latino,~,~,~,,,Urinary Bladder,Male
Hunterdon,Hispanic/Latino,521.3,749.6,628.6,,,All Cancer Sites Combined,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Cervix,Male and Female
Hunterdon,Hispanic/Latino,38.7,117.7,71.3,,,Colon and Rectum,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,"Corpus and Uterus, NOS",Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Esophagus,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Kidney and Renal Pelvis,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Larynx,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Leukemias,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Lung and Bronchus,Male and Female
Hunterdon,Hispanic/Latino,119.6,277.8,187.5,,,Male and Female Breast,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Mesothelioma,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Myeloma,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Non-Hodgkin Lymphoma,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Oral Cavity and Pharynx,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Ovary,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Pancreas,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Prostate,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Stomach,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Testis,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Thyroid,Male and Female
Hunterdon,Hispanic/Latino,~,~,~,,,Urinary Bladder,Male and Female
Hunterdon,White,467.3,513.4,489.9,,,All Cancer Sites Combined,Female
Hunterdon,White,3.7,9.8,6.2,,,Brain and Other Nervous System,Female
Hunterdon,White,~,~,~,,,Cervix,Female
Hunterdon,White,32.1,45,38.1,,,Colon and Rectum,Female
Hunterdon,White,30.3,42.5,36,,,"Corpus and Uterus, NOS",Female
Hunterdon,White,~,~,~,,,Esophagus,Female
Hunterdon,White,143.1,169.2,155.7,,,Female Breast,Female
Hunterdon,White,33.6,47.5,40,,,"Female Breast, <i>in situ</i>",Female
Hunterdon,White,~,~,~,,,Hodgkin Lymphoma,Female
Hunterdon,White,~,~,~,,,Kaposi Sarcoma,Female
Hunterdon,White,9.7,17.9,13.3,,,Kidney and Renal Pelvis,Female
Hunterdon,White,~,~,~,,,Larynx,Female
Hunterdon,White,8,14.5,10.8,,,Leukemias,Female
Hunterdon,White,~,~,~,,,Liver and Intrahepatic Bile Duct,Female
Hunterdon,White,41.9,55.7,48.4,,,Lung and Bronchus,Female
Hunterdon,White,28.1,41.3,34.2,,,Melanomas of the Skin,Female
Hunterdon,White,~,~,~,,,Mesothelioma,Female
Hunterdon,White,3.3,8.1,5.2,,,Myeloma,Female
Hunterdon,White,15.2,24.2,19.2,,,Non-Hodgkin Lymphoma,Female
Hunterdon,White,3.7,8.7,5.7,,,Oral Cavity and Pharynx,Female
Hunterdon,White,9.2,16.6,12.4,,,Ovary,Female
Hunterdon,White,10.4,17.9,13.7,,,Pancreas,Female
Hunterdon,White,~,~,~,,,Stomach,Female
Hunterdon,White,21.9,35.4,28,,,Thyroid,Female
Hunterdon,White,8.7,15.7,11.7,,,Urinary Bladder,Female
Hunterdon,White,479.2,527.3,502.8,,,All Cancer Sites Combined,Male
Hunterdon,White,7.5,16.1,11.2,,,Brain and Other Nervous System,Male
Hunterdon,White,35.9,50.3,42.6,,,Colon and Rectum,Male
Hunterdon,White,5.4,11.6,8,,,Esophagus,Male
Hunterdon,White,~,~,~,,,Hodgkin Lymphoma,Male
Hunterdon,White,~,~,~,,,Kaposi Sarcoma,Male
Hunterdon,White,14.4,23.9,18.7,,,Kidney and Renal Pelvis,Male
Hunterdon,White,3,8.2,5.1,,,Larynx,Male
Hunterdon,White,15.4,26.2,20.2,,,Leukemias,Male
Hunterdon,White,4.8,10.6,7.2,,,Liver and Intrahepatic Bile Duct,Male
Hunterdon,White,37.4,51.9,44.2,,,Lung and Bronchus,Male
Hunterdon,White,~,~,~,,,Male Breast,Male
Hunterdon,White,39.3,54.2,46.2,,,Melanomas of the Skin,Male
Hunterdon,White,~,~,~,,,Mesothelioma,Male
Hunterdon,White,5.3,11.6,7.9,,,Myeloma,Male
Hunterdon,White,17.7,28.1,22.4,,,Non-Hodgkin Lymphoma,Male
Hunterdon,White,14.8,24.2,19,,,Oral Cavity and Pharynx,Male
Hunterdon,White,14.7,24.5,19.1,,,Pancreas,Male
Hunterdon,White,104.9,126.6,115.3,,,Prostate,Male
Hunterdon,White,7,14,10,,,Stomach,Male
Hunterdon,White,4.2,12.1,7.4,,,Testis,Male
Hunterdon,White,4,10.3,6.6,,,Thyroid,Male
Hunterdon,White,38.4,53,45.2,,,Urinary Bladder,Male
Hunterdon,White,476.5,509.2,492.6,,,All Cancer Sites Combined,Male and Female
Hunterdon,White,6.4,11.5,8.6,,,Brain and Other Nervous System,Male and Female
Hunterdon,White,~,~,~,,,Cervix,Male and Female
Hunterdon,White,36.1,45.7,40.7,,,Colon and Rectum,Male and Female
Hunterdon,White,30.3,42.5,36,,,"Corpus and Uterus, NOS",Male and Female
Hunterdon,White,3.2,6.4,4.5,,,Esophagus,Male and Female
Hunterdon,White,2,5.8,3.5,,,Hodgkin Lymphoma,Male and Female
Hunterdon,White,~,~,~,,,Kaposi Sarcoma,Male and Female
Hunterdon,White,12.9,19,15.7,,,Kidney and Renal Pelvis,Male and Female
Hunterdon,White,1.7,4.2,2.7,,,Larynx,Male and Female
Hunterdon,White,12.6,18.7,15.4,,,Leukemias,Male and Female
Hunterdon,White,3.7,7,5.1,,,Liver and Intrahepatic Bile Duct,Male and Female
Hunterdon,White,41.3,51,45.9,,,Lung and Bronchus,Male and Female
Hunterdon,White,143.1,169.2,155.7,,,Male and Female Breast,Male and Female
Hunterdon,White,33.6,47.5,40,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Hunterdon,White,34.6,44.2,39.1,,,Melanomas of the Skin,Male and Female
Hunterdon,White,~,~,~,,,Mesothelioma,Male and Female
Hunterdon,White,4.8,8.5,6.4,,,Myeloma,Male and Female
Hunterdon,White,17.5,24.2,20.6,,,Non-Hodgkin Lymphoma,Male and Female
Hunterdon,White,9.5,14.4,11.7,,,Oral Cavity and Pharynx,Male and Female
Hunterdon,White,9.2,16.6,12.4,,,Ovary,Male and Female
Hunterdon,White,13.4,19.2,16.1,,,Pancreas,Male and Female
Hunterdon,White,104.9,126.6,115.3,,,Prostate,Male and Female
Hunterdon,White,4.7,8.7,6.4,,,Stomach,Male and Female
Hunterdon,White,4.2,12.1,7.4,,,Testis,Male and Female
Hunterdon,White,14,21.4,17.4,,,Thyroid,Male and Female
Hunterdon,White,23.4,31,27,,,Urinary Bladder,Male and Female
Mercer,All Races,448.6,474.3,461.3,,,All Cancer Sites Combined,Female
Mercer,All Races,4.1,7,5.4,,,Brain and Other Nervous System,Female
Mercer,All Races,5.6,9.2,7.2,,,Cervix,Female
Mercer,All Races,28.2,34.9,31.4,,,Colon and Rectum,Female
Mercer,All Races,31.5,38.4,34.8,,,"Corpus and Uterus, NOS",Female
Mercer,All Races,1.4,3.3,2.2,,,Esophagus,Female
Mercer,All Races,130,144.3,137,,,Female Breast,Female
Mercer,All Races,32.5,39.9,36,,,"Female Breast, <i>in situ</i>",Female
Mercer,All Races,1.3,3.3,2.2,,,Hodgkin Lymphoma,Female
Mercer,All Races,~,~,~,,,Kaposi Sarcoma,Female
Mercer,All Races,9,13,10.9,,,Kidney and Renal Pelvis,Female
Mercer,All Races,~,~,~,,,Larynx,Female
Mercer,All Races,12,16.7,14.2,,,Leukemias,Female
Mercer,All Races,3,5.4,4,,,Liver and Intrahepatic Bile Duct,Female
Mercer,All Races,43.8,51.9,47.7,,,Lung and Bronchus,Female
Mercer,All Races,11.8,16.4,13.9,,,Melanomas of the Skin,Female
Mercer,All Races,~,~,~,,,Mesothelioma,Female
Mercer,All Races,5.1,8.2,6.5,,,Myeloma,Female
Mercer,All Races,15.8,21,18.3,,,Non-Hodgkin Lymphoma,Female
Mercer,All Races,3.6,6.3,4.8,,,Oral Cavity and Pharynx,Female
Mercer,All Races,10.5,14.9,12.5,,,Ovary,Female
Mercer,All Races,13.6,18.3,15.8,,,Pancreas,Female
Mercer,All Races,5,8.1,6.4,,,Stomach,Female
Mercer,All Races,30.1,37.7,33.8,,,Thyroid,Female
Mercer,All Races,7.6,11.2,9.2,,,Urinary Bladder,Female
Mercer,All Races,550.2,581.2,565.5,,,All Cancer Sites Combined,Male
Mercer,All Races,7,11.1,8.9,,,Brain and Other Nervous System,Male
Mercer,All Races,38.5,47.1,42.6,,,Colon and Rectum,Male
Mercer,All Races,5.3,8.8,6.9,,,Esophagus,Male
Mercer,All Races,2.4,5,3.5,,,Hodgkin Lymphoma,Male
Mercer,All Races,~,~,~,,,Kaposi Sarcoma,Male
Mercer,All Races,22.3,28.9,25.5,,,Kidney and Renal Pelvis,Male
Mercer,All Races,2.9,5.6,4.1,,,Larynx,Male
Mercer,All Races,18.3,24.4,21.2,,,Leukemias,Male
Mercer,All Races,12.3,17.2,14.6,,,Liver and Intrahepatic Bile Duct,Male
Mercer,All Races,60.1,70.8,65.3,,,Lung and Bronchus,Male
Mercer,All Races,~,~,~,,,Male Breast,Male
Mercer,All Races,27.3,34.7,30.8,,,Melanomas of the Skin,Male
Mercer,All Races,~,~,~,,,Mesothelioma,Male
Mercer,All Races,9.3,13.8,11.4,,,Myeloma,Male
Mercer,All Races,24.6,31.7,28,,,Non-Hodgkin Lymphoma,Male
Mercer,All Races,14.1,19.3,16.5,,,Oral Cavity and Pharynx,Male
Mercer,All Races,13,18.3,15.5,,,Pancreas,Male
Mercer,All Races,145.1,160.8,152.8,,,Prostate,Male
Mercer,All Races,7.8,12.1,9.8,,,Stomach,Male
Mercer,All Races,3.7,6.9,5.1,,,Testis,Male
Mercer,All Races,10.8,15.5,13,,,Thyroid,Male
Mercer,All Races,34,42.3,38,,,Urinary Bladder,Male
Mercer,All Races,491.8,511.2,501.4,,,All Cancer Sites Combined,Male and Female
Mercer,All Races,5.8,8.3,7,,,Brain and Other Nervous System,Male and Female
Mercer,All Races,5.6,9.2,7.2,,,Cervix,Male and Female
Mercer,All Races,33.8,39.1,36.4,,,Colon and Rectum,Male and Female
Mercer,All Races,31.5,38.4,34.8,,,"Corpus and Uterus, NOS",Male and Female
Mercer,All Races,3.4,5.2,4.2,,,Esophagus,Male and Female
Mercer,All Races,2.1,3.7,2.8,,,Hodgkin Lymphoma,Male and Female
Mercer,All Races,~,~,~,,,Kaposi Sarcoma,Male and Female
Mercer,All Races,15.6,19.2,17.3,,,Kidney and Renal Pelvis,Male and Female
Mercer,All Races,1.6,2.8,2.1,,,Larynx,Male and Female
Mercer,All Races,15.3,19,17.1,,,Leukemias,Male and Female
Mercer,All Races,7.8,10.3,9,,,Liver and Intrahepatic Bile Duct,Male and Female
Mercer,All Races,51.7,58.1,54.8,,,Lung and Bronchus,Male and Female
Mercer,All Races,130,144.3,137,,,Male and Female Breast,Male and Female
Mercer,All Races,32.5,39.9,36,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Mercer,All Races,18.9,23,20.9,,,Melanomas of the Skin,Male and Female
Mercer,All Races,~,~,~,,,Mesothelioma,Male and Female
Mercer,All Races,7.3,9.9,8.6,,,Myeloma,Male and Female
Mercer,All Races,20.4,24.6,22.4,,,Non-Hodgkin Lymphoma,Male and Female
Mercer,All Races,8.8,11.5,10.1,,,Oral Cavity and Pharynx,Male and Female
Mercer,All Races,10.5,14.9,12.5,,,Ovary,Male and Female
Mercer,All Races,14.1,17.6,15.8,,,Pancreas,Male and Female
Mercer,All Races,145.1,160.8,152.8,,,Prostate,Male and Female
Mercer,All Races,6.6,9.1,7.8,,,Stomach,Male and Female
Mercer,All Races,3.7,6.9,5.1,,,Testis,Male and Female
Mercer,All Races,21.4,25.8,23.5,,,Thyroid,Male and Female
Mercer,All Races,19.4,23.5,21.4,,,Urinary Bladder,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Cervix,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Female
Mercer,American Indian/Alaska Native,-,-,-,,,"Corpus and Uterus, NOS",Female
Mercer,American Indian/Alaska Native,-,-,-,,,Esophagus,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Female Breast,Female
Mercer,American Indian/Alaska Native,-,-,-,,,"Female Breast, <i>in situ</i>",Female
Mercer,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Larynx,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Leukemias,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Myeloma,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Ovary,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Pancreas,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Stomach,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Thyroid,Female
Mercer,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Female
Mercer,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Esophagus,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Larynx,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Leukemias,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Male Breast,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Myeloma,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Pancreas,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Prostate,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Stomach,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Testis,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Thyroid,Male
Mercer,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Male
Mercer,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Cervix,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,"Corpus and Uterus, NOS",Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Esophagus,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Larynx,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Leukemias,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Male and Female Breast,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Myeloma,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Ovary,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Pancreas,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Prostate,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Stomach,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Testis,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Thyroid,Male and Female
Mercer,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Male and Female
Mercer,Asian/Pacific Islander,306.7,384.4,343.9,,,All Cancer Sites Combined,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Brain and Other Nervous System,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Cervix,Female
Mercer,Asian/Pacific Islander,13.8,35.6,22.9,,,Colon and Rectum,Female
Mercer,Asian/Pacific Islander,13.7,33.9,22.1,,,"Corpus and Uterus, NOS",Female
Mercer,Asian/Pacific Islander,~,~,~,,,Esophagus,Female
Mercer,Asian/Pacific Islander,110.6,157.7,132.6,,,Female Breast,Female
Mercer,Asian/Pacific Islander,33.4,61,45.7,,,"Female Breast, <i>in situ</i>",Female
Mercer,Asian/Pacific Islander,~,~,~,,,Hodgkin Lymphoma,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Kaposi Sarcoma,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Kidney and Renal Pelvis,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Larynx,Female
Mercer,Asian/Pacific Islander,~,~,~,,,Leukemias,Female
